dataset,model,total_rows,pep_rows,pep_pct,pep_uniq,pair_rows,pair_pct,pair_uniq,verify
fingerprinting,ERGO,3612,0,0.0,0,0,0.0,0,OK
fingerprinting,ERGO2,3612,0,0.0,0,0,0.0,0,OK
fingerprinting,NetTCR,3612,0,0.0,0,0,0.0,0,OK
fingerprinting,NetTCR22,3612,21,0.5813953488372093,1,2,0.05537098560354374,2,OK
fingerprinting,TITAN,3612,0,0.0,0,0,0.0,0,OK
fingerprinting,EPACT,3612,0,0.0,0,0,0.0,0,OK
fingerprinting,PanPep,3612,0,0.0,0,0,0.0,0,OK
fingerprinting,SCEPTR,3612,0,0.0,0,0,0.0,0,OK
immrep23,ERGO,3484,2616,75.08610792192881,14,0,0.0,0,OK
immrep23,ERGO2,3484,2616,75.08610792192881,14,0,0.0,0,OK
immrep23,NetTCR,3484,928,26.636050516647533,3,109,3.1285878300803676,59,OK
immrep23,NetTCR22,3484,1542,44.25947187141217,7,146,4.190585533869116,89,OK
immrep23,TITAN,3484,0,0.0,0,0,0.0,0,OK
immrep23,EPACT,3484,144,4.133180252583237,1,0,0.0,0,OK
immrep23,PanPep,3484,2016,57.86452353616533,10,34,0.9758897818599311,8,OK
immrep23,SCEPTR,3484,0,0.0,0,0,0.0,0,OK
tettcr,ERGO,51351,9379,18.264493388638975,21,302,0.588109287063543,97,OK
tettcr,ERGO2,51351,9276,18.063913068878893,23,350,0.681583610835232,83,OK
tettcr,NetTCR,51351,1465,2.852914256781757,5,0,0.0,0,OK
tettcr,NetTCR22,51351,4427,8.621058986193063,7,0,0.0,0,OK
tettcr,TITAN,51351,0,0.0,0,0,0.0,0,OK
tettcr,EPACT,51351,394,0.767268407625947,1,12,0.02336858094292224,4,OK
tettcr,PanPep,51351,4337,8.445794629121147,7,186,0.3622130046152947,74,OK
tettcr,SCEPTR,51351,0,0.0,0,0,0.0,0,OK
