draw_position,model,n_mutations,lower_whisker,q1,median,q3,upper_whisker
1,ERGO,113,0.4736842105263157,0.5546558704453441,0.6052631578947368,0.7275541795665635,0.9210526315789472
2,EPACT,113,0.4736842105263157,0.506578947368421,0.5789473684210527,0.7506925207756232,0.8947368421052633
3,PanPep,113,0.4736842105263157,0.4736842105263157,0.5543859649122806,0.7368421052631579,0.9473684210526316
4,TITAN,113,0.4736842105263157,0.5614035087719298,0.6140350877192983,0.6578947368421052,0.8337950138504155
5,NetTCR,113,0.5013850415512465,0.5175438596491228,0.5951417004048583,0.6842105263157895,0.9473684210526316
6,NetTCR2.2,113,0.4736842105263157,0.4736842105263157,0.5141700404858299,0.667590027700831,0.9445983379501384
7,ERGO2,113,0.5,0.5141700404858299,0.5290858725761772,0.569377990430622,0.8947368421052633
8,SCEPTR,113,0.4833795013850415,0.4958448753462603,0.5087719298245614,0.5232198142414861,0.8947368421052633
