x,y,model,auc01
2,3,PanPep,0.7957471077073489
3,1,ERGO,0.6917226879112777
4,3,PanPep,0.7312542609787384
5,4,TITAN,0.5880255478593428
6,6,NetTCR2.2,0.640973359747748
7,1,ERGO,0.6427073101559582
8,6,NetTCR2.2,0.7721650822947262
9,5,NetTCR,0.776358789129687
