model,r5,non_r5,n_r5,n_non_r5
ERGO,0.5677180416792605,0.6595801228980277,19,94
EPACT,0.5135125980001326,0.6517905927332617,19,94
PanPep,0.5059471153653978,0.6416012509699022,19,94
TITAN,0.5880255478593428,0.6192224090633719,19,94
NetTCR,0.5509811825601298,0.6202940425531683,19,94
NetTCR2.2,0.4887776120463101,0.61386432464156,19,94
ERGO2,0.5482538134892705,0.5536128669221801,19,94
SCEPTR,0.518812274406111,0.5356848175382217,19,94
