model,macro_auc01,n_mutations
SCEPTR,0.5328478412593712,113
ERGO2,0.5527117871414254,113
NetTCR2.2,0.5928320455326241,113
NetTCR,0.6086396678640735,113
TITAN,0.6139769191264113,113
PanPep,0.6187921485231271,113
EPACT,0.628540310433001,113
ERGO,0.6441342862329251,113
