Model,N_Pairs,N_Mutations,N_Eligible_Mutations,N_Positive_Pairs,N_Negative_Pairs,Macro_AUC0.1,Macro_AUPRC,Pooled_AUC0.1,Pooled_AUPRC
ERGO,3591,171,113,3027,564,0.6441342862329251,0.8394638724927215,0.5264366995411337,0.8706636089260477
EPACT,3591,171,113,3027,564,0.628540310433001,0.813080194507335,0.5211825682827429,0.8705040799621659
PanPep,3591,171,113,3027,564,0.6187921485231271,0.815310236561473,0.5189745568470304,0.8820649486390888
TITAN,3591,171,113,3027,564,0.6139769191264113,0.8193577956210697,0.4818969698247686,0.8004466936524728
NetTCR,3591,171,113,3027,564,0.6086396678640735,0.8073943067489634,0.5217270027017018,0.8601843500042283
NetTCR22,3591,171,113,3027,564,0.5928320455326241,0.7627416571193741,0.5019954168857044,0.8360179591388807
ERGO2,3591,171,113,3027,564,0.5527117871414254,0.7746750305979776,0.4956521085026352,0.8439752657471917
SCEPTR,3591,171,113,3027,564,0.5328478412593712,0.8008711425051768,0.506137828847305,0.8636109569364855
