R5_Group,N_Mutations,Mean_Binder_Fraction,Median_Binder_Fraction,Mean_Delta_log2FC,Median_Delta_log2FC
R5,19,0.568922305764411,0.5714285714285714,-4.093781523579849,-4.183884229841834
non-R5,152,0.8771929824561404,0.9047619047619048,-2.5463944287512574,-2.8192467500467995
