Model,N_Mutations,Spearman_Rho_Disruption,Spearman_P_Disruption,Pearson_R_Disruption,Pearson_P_Disruption,Spearman_Rho_BinderLoss,Spearman_P_BinderLoss
ERGO,113,-0.47774069498818095,8.756615912930105e-08,-0.45557834213115034,3.9719745283107067e-07,-0.6279794443821576,9.718902474928331e-14
EPACT,113,-0.538699133230288,7.519081492370562e-10,-0.5659511438768782,6.475818221092e-11,-0.6023558591460539,1.6904808728262016e-12
PanPep,113,-0.5173081552169068,4.445009381253022e-09,-0.5277706956605999,1.8928786011047602e-09,-0.6971125414087496,9.796565549405346e-18
TITAN,113,-0.3187938918696639,0.000578725991157971,-0.2787118790884699,0.0027963992956457537,-0.40325359165743907,9.487682200028924e-06
NetTCR,113,-0.4292058055658832,2.100776728305065e-06,-0.48712711765254185,4.46608082341075e-08,-0.5465443091386734,3.79635672444036e-10
NetTCR2.2,113,-0.6776236769363664,1.6888720942479892e-16,-0.6890101928931345,3.2879294818156463e-17,-0.6699738477241821,4.869266415388683e-16
ERGO2,113,0.013314884291979754,0.8886824048872024,0.0051704825849712005,0.9566545395799072,-0.15062997744395143,0.11126886981538718
SCEPTR,113,0.3145927318322883,0.0006898689001966502,-0.04376146160114097,0.6453446713619926,0.42765956369613667,2.3063963249559066e-06
