model,mean_auc01_r5,mean_auc01_non_r5,difference
ERGO,0.5677180416792605,0.6595801228980277,-0.09186208121876716
EPACT,0.5135125980001326,0.6517905927332617,-0.13827799473312907
PanPep,0.5059471153653978,0.6416012509699022,-0.13565413560450434
TITAN,0.5880255478593428,0.6192224090633719,-0.03119686120402909
NetTCR,0.5509811825601298,0.6202940425531683,-0.06931285999303849
NetTCR2.2,0.4887776120463101,0.61386432464156,-0.12508671259524995
ERGO2,0.5482538134892705,0.5536128669221801,-0.005359053432909655
SCEPTR,0.518812274406111,0.5356848175382217,-0.01687254313211073
