tcr,ERGO,EPACT,PanPep,TITAN,NetTCR,NetTCR2.2,ERGO2,SCEPTR
SVAR.1,0.5369977362761743,0.5730758347481607,0.5835101867572157,0.4777518392756084,0.5387662705149971,0.5085243350311262,0.517013299377476,0.4905281821575215
SVAR.13,0.4862155388471177,0.6849006574407033,0.4847626312157204,0.4736842105263157,0.5003813882532417,0.5557734917002651,0.5535941302531692,0.5
SVAR.14,0.6811145510835913,0.7647058823529411,0.5727554179566563,0.4767801857585139,0.5170278637770898,0.7708978328173375,0.91640866873065,0.5
SVAR.16,0.4966548941912884,0.4861745197691446,0.5021104315617193,0.4736842105263157,0.5285267177764378,0.548913199529101,0.5349872225572113,0.5
SVAR.2,0.4987468671679197,0.527389903329753,0.5696383816684568,0.4822771213748657,0.5051915503043323,0.5238095238095238,0.5066237021124239,0.5336811416295841
SVAR.21,,,,,,,,
SVAR.26,,,,,,,,
SVAR.3,0.4851973684210526,0.5632048872180451,0.5072838345864662,0.4779135338345864,0.524671052631579,0.5096554335478986,0.5011748120300752,0.5
SVAR.5,0.4987468671679197,0.7994987468671679,0.5676691729323309,0.4956140350877193,0.5112781954887218,0.761904761904762,0.6303258145363408,0.5
SVAR.56,0.4801819363222872,0.5841455490578298,0.5094217024041585,0.4736842105263157,0.5776478232618584,0.5094217024041585,0.5419103313840156,0.5
SVAR.57,0.5577505147400681,0.5332707105785014,0.6078487186056,0.4858292296452326,0.5830842655584337,0.5190382662985208,0.4859241126070991,0.5
SVAR.59,,,,,,,,
SVAR.6,0.5083517176173968,0.6659312953041285,0.5524739993696817,0.489442168294989,0.5146549007248661,0.7825401827923101,0.5020485345099275,0.5721714465805232
SVAR.7,0.4970282432079615,0.4761414771243837,0.4807488519957612,0.4736842105263157,0.5143826885568166,0.5633744413557968,0.5575384331853854,0.5
SVAR.73,0.5268119237606979,0.5268119237606979,0.4819531153098772,0.4776119402985074,0.5232976392276842,0.5309463761524786,0.4889816843759044,0.5
SVAR.74,,,,,,,,
SVAR.75,,,,,,,,
SVAR.76,0.5288423899505356,0.4882744386320771,0.543432618056297,0.4768869435251414,0.5505498024981318,0.5366712928365539,0.4857834240774349,0.5
SVAR.82,0.4931946614431515,0.4864320748703837,0.496226165768875,0.4768711766123328,0.5307386765540346,0.5183017357305537,0.4816904911814316,0.4898291778273059
SVAR.85,0.4916709878143634,0.5022037853253825,0.5125745397977703,0.4766009852216749,0.5470897070261862,0.5402838994036816,0.5163015296862847,0.4917634996582365
SVAR.90,0.579589216944801,0.730423620025674,0.4961489088575096,0.5282413350449294,0.4993581514762516,0.4929396662387676,0.6790757381258024,0.5
